,zł,zł,zł,zł,zł,zł,zł,zł,zł,zł,zł,zł,zł
Podregion łomżyński,874618713.32,898671570.23,941579793.23,999689815.71,1018121795.87,1010520297.56,1171128652.51,1270582556.02,1408411931.49,1561118610.1,1653790641.1,1799385631.44,1945412952.92
Podregion suwalski,21124738416.95,22550652595.93,23876898753.72,24400545608.35,26788402165.31,27932895375.7,30534891147.38,32649148833.89,35890962124.45,39140765742.06,41556994266.1,46881388572.9,47611597879.61
Makroregion województwo mazowieckie,21124738416.95,22550652595.93,23876898753.72,24400545608.35,26788402165.31,27932895375.7,30534891147.38,32649148833.89,35890962124.45,39140765742.06,41556994266.1,46881388572.9,47611597879.61
MAZOWIECKIE,13930407590.38,14960933488.34,15860490048.19,16377758172.11,18277681005.61,19092832968.14,20425320528.86,21700769438.55,23997198323.13,26141343607.18,27385023383.22,31499314392.53,31394272375.6
region warszawski stołeczny,10446948845.51,11268509501.65,11941031109.1,12222732655.34,13780750887.91,14313684262.38,14722229969.12,15476720226.24,17004591865.17,18109406599.27,18557696157.94,21594782590.74,21653151357.06
Podregion Warszawa,1564966300.95,1633305016.57,1731364468.74,1826210677.88,1978594219.49,2111563117.36,2587481188.33,2799306254.12,3176546781.59,3679662021.1,4083223133.74,4562296173.33,4421372353.02
Podregion warszawski wschodni,1918492443.92,2059118970.12,2188094470.35,2328814838.89,2518335898.21,2667585588.4,3115609371.41,3424742958.19,3816059676.37,4352274986.81,4744104091.54,5342235628.46,5319748665.52
Podregion warszawski zachodni,7194330826.57,7589719107.59,8016408705.53,8022787436.24,8510721159.7,8840062407.56,10109570618.52,10948379395.34,11893763801.32,12999422134.88,14171970882.88,15382074180.37,16217325504.01
region mazowiecki regionalny,969570551.2,994462035.76,1038258796.4,1077926317.04,1114534277.05,1165450121.43,1342930864.5,1464065376.3,1589906545.78,1769889460.08,1946644497.32,2134815508.31,2303845851.99
Podregion ciechanowski,1158916718.55,1250478652.75,1335907765.74,1290334780.04,1378490549.25,1447715602.72,1662115291.36,1802524738.14,1937702395.38,2127819318.7,2333391460.28,2486912138.34,2600172720.36
Podregion ostrołęcki,1923288086.11,2070059337.8,2067555206.59,2180950971.97,2240159329.04,2337255723.82,2653083050.37,2817185030.06,3017526003.42,3318734330.36,3617078545.45,3886066601.77,4025500623.27
Podregion radomski,1240468366.3,1234116733.33,1435325934.21,1324909944.52,1450414765.51,1462819547.05,1661849122.24,1846700099.31,2021044980.68,2124807656.74,2260786173.24,2427552454.4,2569934621.88
Podregion płocki,1249641638.6,1300316173.87,1381535882.43,1371364901.78,1479572972.38,1520071085.68,1751752164.42,1903532009.7,2067595799.15,2280611401.29,2483922332.71,2741790293.11,2920530941.74
Podregion siedlecki,652445465.81,740286174.08,757825120.16,777300520.89,847549266.47,906750326.86,1037840125.63,1114372141.83,1259988076.91,1377559967.71,1530147873.88,1704937184.44,1797340744.77
Podregion żyrardowski,,,,,,,,,,,,,
